Country destination,Country destination_label,Country source,Country source_label,Sum_of_deals,year
Media, social platforms and marketing,Media, social platforms and marketing,USA,United States,3853.3415630833333,2020
Mobility and autonomous vehicles,Mobility and autonomous vehicles,USA,United States,5774.413549000001,2020
Other,Other,USA,United States,9851.949937352381,2020
Robots, sensors and IT hardware,Robots, sensors and IT hardware,USA,United States,2158.8109336666666,2020
Business processes and support services,Business processes and support services,USA,United States,13199.44651315,2021
Digital security,Digital security,USA,United States,4892.797685488095,2021
Financial and insurance services,Financial and insurance services,USA,United States,9423.757886781385,2021
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,USA,United States,11277.931477216667,2021
IT infrastructure and hosting,IT infrastructure and hosting,USA,United States,8450.804428124242,2021
Logistics, wholesale and retail,Logistics, wholesale and retail,USA,United States,2132.315958047619,2021
Media, social platforms and marketing,Media, social platforms and marketing,USA,United States,11171.035422857141,2021
Mobility and autonomous vehicles,Mobility and autonomous vehicles,USA,United States,17563.82881191667,2021
Other,Other,USA,United States,25533.208671195236,2021
Robots, sensors and IT hardware,Robots, sensors and IT hardware,USA,United States,3194.034336333333,2021
Business processes and support services,Business processes and support services,USA,United States,7152.28151445,2022
Digital security,Digital security,USA,United States,3121.393139866667,2022
Financial and insurance services,Financial and insurance services,USA,United States,6792.218213595238,2022
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,USA,United States,7364.253067083334,2022
IT infrastructure and hosting,IT infrastructure and hosting,USA,United States,7151.238515047619,2022
Logistics, wholesale and retail,Logistics, wholesale and retail,USA,United States,1973.5627558452381,2022
Media, social platforms and marketing,Media, social platforms and marketing,USA,United States,6823.493559569048,2022
Mobility and autonomous vehicles,Mobility and autonomous vehicles,USA,United States,4040.9296745833335,2022
Other,Other,USA,United States,14384.826253194444,2022
Robots, sensors and IT hardware,Robots, sensors and IT hardware,USA,United States,2186.5774223333333,2022
Business processes and support services,Business processes and support services,USA,United States,3696.1762068333337,2023
Digital security,Digital security,USA,United States,2084.6297235,2023
Financial and insurance services,Financial and insurance services,USA,United States,5377.734158475,2023
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,USA,United States,4708.384972716666,2023
IT infrastructure and hosting,IT infrastructure and hosting,USA,United States,10732.332552569445,2023
Logistics, wholesale and retail,Logistics, wholesale and retail,USA,United States,561.7731467333333,2023
Media, social platforms and marketing,Media, social platforms and marketing,USA,United States,13070.022068253174,2023
Mobility and autonomous vehicles,Mobility and autonomous vehicles,USA,United States,1863.3988296166667,2023
Other,Other,USA,United States,6730.7701547,2023
Robots, sensors and IT hardware,Robots, sensors and IT hardware,USA,United States,1659.2332491833333,2023
Business processes and support services,Business processes and support services,USA,United States,6215.00514810984,2024
Digital security,Digital security,USA,United States,2772.0793197761905,2024
Financial and insurance services,Financial and insurance services,USA,United States,2306.0724170458707,2024
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,USA,United States,5863.100569883333,2024
IT infrastructure and hosting,IT infrastructure and hosting,USA,United States,17809.37114354762,2024
Logistics, wholesale and retail,Logistics, wholesale and retail,USA,United States,539.2743660166667,2024
Media, social platforms and marketing,Media, social platforms and marketing,USA,United States,6666.796498924604,2024
Mobility and autonomous vehicles,Mobility and autonomous vehicles,USA,United States,7055.205959583333,2024
Other,Other,USA,United States,6114.973940123809,2024
Robots, sensors and IT hardware,Robots, sensors and IT hardware,USA,United States,2903.226779233333,2024
Business processes and support services,Business processes and support services,USA,United States,5956.802159521429,2025
Digital security,Digital security,USA,United States,3258.887970033333,2025
Financial and insurance services,Financial and insurance services,USA,United States,2624.197249071429,2025
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,USA,United States,5967.497009783334,2025
IT infrastructure and hosting,IT infrastructure and hosting,USA,United States,25507.539005365586,2025
Logistics, wholesale and retail,Logistics, wholesale and retail,USA,United States,736.4045565666667,2025
Media, social platforms and marketing,Media, social platforms and marketing,USA,United States,17256.349741259524,2025
Mobility and autonomous vehicles,Mobility and autonomous vehicles,USA,United States,1333.0347472619048,2025
Other,Other,USA,United States,6329.744365616667,2025
Robots, sensors and IT hardware,Robots, sensors and IT hardware,USA,United States,2621.7551290119045,2025
Business processes and support services,Business processes and support services,CHN,China (People's Republic of),0,2012
Digital security,Digital security,CHN,China (People's Republic of),10.044145,2012
Financial and insurance services,Financial and insurance services,CHN,China (People's Republic of),8,2012
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,CHN,China (People's Republic of),13.463489,2012
IT infrastructure and hosting,IT infrastructure and hosting,CHN,China (People's Republic of),59.002234,2012
Logistics, wholesale and retail,Logistics, wholesale and retail,CHN,China (People's Republic of),0,2012
Media, social platforms and marketing,Media, social platforms and marketing,CHN,China (People's Republic of),164.44994450000002,2012
Mobility and autonomous vehicles,Mobility and autonomous vehicles,CHN,China (People's Republic of),170.047757,2012
Other,Other,CHN,China (People's Republic of),63.971613000000005,2012
Robots, sensors and IT hardware,Robots, sensors and IT hardware,CHN,China (People's Republic of),30.417096,2012
Business processes and support services,Business processes and support services,CHN,China (People's Republic of),32.35,2013
Digital security,Digital security,CHN,China (People's Republic of),40,2013
Financial and insurance services,Financial and insurance services,CHN,China (People's Republic of),1.617452,2013
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,CHN,China (People's Republic of),50.798486,2013
IT infrastructure and hosting,IT infrastructure and hosting,CHN,China (People's Republic of),95.641816,2013
Logistics, wholesale and retail,Logistics, wholesale and retail,CHN,China (People's Republic of),27,2013
Media, social platforms and marketing,Media, social platforms and marketing,CHN,China (People's Republic of),57.38201600000001,2013
Mobility and autonomous vehicles,Mobility and autonomous vehicles,CHN,China (People's Republic of),77.69999999999999,2013
Other,Other,CHN,China (People's Republic of),127.97910333333333,2013
Robots, sensors and IT hardware,Robots, sensors and IT hardware,CHN,China (People's Republic of),31.316474,2013
Business processes and support services,Business processes and support services,CHN,China (People's Republic of),139.4095755,2014
Digital security,Digital security,CHN,China (People's Republic of),26.127212,2014
Financial and insurance services,Financial and insurance services,CHN,China (People's Republic of),57.1519005,2014
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,CHN,China (People's Republic of),242.65326566666667,2014
IT infrastructure and hosting,IT infrastructure and hosting,CHN,China (People's Republic of),1379.81036425,2014
Logistics, wholesale and retail,Logistics, wholesale and retail,CHN,China (People's Republic of),202.900054,2014
Media, social platforms and marketing,Media, social platforms and marketing,CHN,China (People's Republic of),707.9448345000001,2014
Mobility and autonomous vehicles,Mobility and autonomous vehicles,CHN,China (People's Republic of),3285.21376975,2014
Other,Other,CHN,China (People's Republic of),306.59914275,2014
Robots, sensors and IT hardware,Robots, sensors and IT hardware,CHN,China (People's Republic of),341.507498,2014
Business processes and support services,Business processes and support services,CHN,China (People's Republic of),603.11089675,2015
Digital security,Digital security,CHN,China (People's Republic of),329.95730000000003,2015
Financial and insurance services,Financial and insurance services,CHN,China (People's Republic of),504.80736650000006,2015
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,CHN,China (People's Republic of),509.27645533333333,2015
IT infrastructure and hosting,IT infrastructure and hosting,CHN,China (People's Republic of),368.92761583333333,2015
Logistics, wholesale and retail,Logistics, wholesale and retail,CHN,China (People's Republic of),238.794408,2015
Media, social platforms and marketing,Media, social platforms and marketing,CHN,China (People's Republic of),1345.3204415,2015
Mobility and autonomous vehicles,Mobility and autonomous vehicles,CHN,China (People's Republic of),3895.378796416667,2015
Other,Other,CHN,China (People's Republic of),681.4070805,2015
Robots, sensors and IT hardware,Robots, sensors and IT hardware,CHN,China (People's Republic of),539.1715608333334,2015
Business processes and support services,Business processes and support services,CHN,China (People's Republic of),600.84056475,2016
Digital security,Digital security,CHN,China (People's Republic of),165.1533025,2016
Financial and insurance services,Financial and insurance services,CHN,China (People's Republic of),2212.884413083333,2016
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,CHN,China (People's Republic of),1365.526626,2016
IT infrastructure and hosting,IT infrastructure and hosting,CHN,China (People's Republic of),1084.1164398333333,2016
Logistics, wholesale and retail,Logistics, wholesale and retail,CHN,China (People's Republic of),1220.3736071666667,2016
Media, social platforms and marketing,Media, social platforms and marketing,CHN,China (People's Republic of),783.545945,2016
Mobility and autonomous vehicles,Mobility and autonomous vehicles,CHN,China (People's Republic of),7881.5273093333335,2016
Other,Other,CHN,China (People's Republic of),1153.6240075,2016
Robots, sensors and IT hardware,Robots, sensors and IT hardware,CHN,China (People's Republic of),1925.60305975,2016
Business processes and support services,Business processes and support services,CHN,China (People's Republic of),1041.6604136666667,2017
Digital security,Digital security,CHN,China (People's Republic of),263.9828895,2017
Financial and insurance services,Financial and insurance services,CHN,China (People's Republic of),2682.600350666666,2017
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,CHN,China (People's Republic of),2276.6874239999997,2017
IT infrastructure and hosting,IT infrastructure and hosting,CHN,China (People's Republic of),1650.283864,2017
Logistics, wholesale and retail,Logistics, wholesale and retail,CHN,China (People's Republic of),1446.0948426666666,2017
Media, social platforms and marketing,Media, social platforms and marketing,CHN,China (People's Republic of),1917.1838687142856,2017
Mobility and autonomous vehicles,Mobility and autonomous vehicles,CHN,China (People's Republic of),5195.249391666666,2017
Other,Other,CHN,China (People's Republic of),2255.359280166667,2017
Robots, sensors and IT hardware,Robots, sensors and IT hardware,CHN,China (People's Republic of),1637.2089145833334,2017
Other,Other,CHN,China (People's Republic of),2852.4412389166664,2018
Robots, sensors and IT hardware,Robots, sensors and IT hardware,CHN,China (People's Republic of),3344.1643649166663,2018
Mobility and autonomous vehicles,Mobility and autonomous vehicles,CHN,China (People's Republic of),3084.532022833333,2018
Media, social platforms and marketing,Media, social platforms and marketing,CHN,China (People's Republic of),2550.644886833333,2018
Logistics, wholesale and retail,Logistics, wholesale and retail,CHN,China (People's Republic of),1945.546259,2018
IT infrastructure and hosting,IT infrastructure and hosting,CHN,China (People's Republic of),2565.779995833333,2018
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,CHN,China (People's Republic of),3789.05330275,2018
Financial and insurance services,Financial and insurance services,CHN,China (People's Republic of),3893.827549,2018
Digital security,Digital security,CHN,China (People's Republic of),168.57759499999997,2018
Business processes and support services,Business processes and support services,CHN,China (People's Republic of),2438.8888126666666,2018
Other,Other,CHN,China (People's Republic of),3043.122217366667,2019
Mobility and autonomous vehicles,Mobility and autonomous vehicles,CHN,China (People's Republic of),5261.122015,2019
Media, social platforms and marketing,Media, social platforms and marketing,CHN,China (People's Republic of),1737.4094151666666,2019
Logistics, wholesale and retail,Logistics, wholesale and retail,CHN,China (People's Republic of),3845.1948490000004,2019
IT infrastructure and hosting,IT infrastructure and hosting,CHN,China (People's Republic of),1199.8110461666668,2019
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,CHN,China (People's Republic of),1670.0691958333334,2019
Financial and insurance services,Financial and insurance services,CHN,China (People's Republic of),1208.7695829047618,2019
Digital security,Digital security,CHN,China (People's Republic of),440.571758,2019
Robots, sensors and IT hardware,Robots, sensors and IT hardware,CHN,China (People's Republic of),1880.1035368333335,2019
Business processes and support services,Business processes and support services,CHN,China (People's Republic of),914.7947272619048,2019
Business processes and support services,Business processes and support services,CHN,China (People's Republic of),1857.6831513333334,2020
Digital security,Digital security,CHN,China (People's Republic of),462.3982245,2020
Financial and insurance services,Financial and insurance services,CHN,China (People's Republic of),940.8176123333334,2020
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,CHN,China (People's Republic of),3644.1473149999997,2020
IT infrastructure and hosting,IT infrastructure and hosting,CHN,China (People's Republic of),1377.7150124999998,2020
Logistics, wholesale and retail,Logistics, wholesale and retail,CHN,China (People's Republic of),992.2063244999999,2020
Media, social platforms and marketing,Media, social platforms and marketing,CHN,China (People's Republic of),300.9931736666667,2020
Mobility and autonomous vehicles,Mobility and autonomous vehicles,CHN,China (People's Republic of),8602.562251166666,2020
Other,Other,CHN,China (People's Republic of),3451.492233483333,2020
Robots, sensors and IT hardware,Robots, sensors and IT hardware,CHN,China (People's Republic of),4352.974693833333,2020
Business processes and support services,Business processes and support services,CHN,China (People's Republic of),2334.4740908,2021
Digital security,Digital security,CHN,China (People's Republic of),632.0916419761904,2021
Financial and insurance services,Financial and insurance services,CHN,China (People's Republic of),3216.786776272727,2021
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,CHN,China (People's Republic of),4746.663305221428,2021
IT infrastructure and hosting,IT infrastructure and hosting,CHN,China (People's Republic of),2589.2380981893943,2021
Logistics, wholesale and retail,Logistics, wholesale and retail,CHN,China (People's Republic of),1759.8567816666666,2021
Media, social platforms and marketing,Media, social platforms and marketing,CHN,China (People's Republic of),1315.9357973571427,2021
Mobility and autonomous vehicles,Mobility and autonomous vehicles,CHN,China (People's Republic of),10347.830029666666,2021
Other,Other,CHN,China (People's Republic of),10980.348875745238,2021
Robots, sensors and IT hardware,Robots, sensors and IT hardware,CHN,China (People's Republic of),6791.153423333333,2021
Business processes and support services,Business processes and support services,CHN,China (People's Republic of),1483.8821993333333,2022
Digital security,Digital security,CHN,China (People's Republic of),185.23282,2022
Financial and insurance services,Financial and insurance services,CHN,China (People's Republic of),1237.6819764166667,2022
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,CHN,China (People's Republic of),2589.5940325,2022
IT infrastructure and hosting,IT infrastructure and hosting,CHN,China (People's Republic of),1561.8630452261905,2022
Logistics, wholesale and retail,Logistics, wholesale and retail,CHN,China (People's Republic of),781.4399675,2022
Media, social platforms and marketing,Media, social platforms and marketing,CHN,China (People's Republic of),1367.3059545238095,2022
Mobility and autonomous vehicles,Mobility and autonomous vehicles,CHN,China (People's Republic of),5375.2357275,2022
Other,Other,CHN,China (People's Republic of),4340.313597383333,2022
Robots, sensors and IT hardware,Robots, sensors and IT hardware,CHN,China (People's Republic of),4534.840356166666,2022
Business processes and support services,Business processes and support services,CHN,China (People's Republic of),653.673158,2023
Digital security,Digital security,CHN,China (People's Republic of),106.628755,2023
Financial and insurance services,Financial and insurance services,CHN,China (People's Republic of),722.5082427916667,2023
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,CHN,China (People's Republic of),1985.8778471666667,2023
IT infrastructure and hosting,IT infrastructure and hosting,CHN,China (People's Republic of),2507.74516325,2023
Logistics, wholesale and retail,Logistics, wholesale and retail,CHN,China (People's Republic of),333.9709145,2023
Media, social platforms and marketing,Media, social platforms and marketing,CHN,China (People's Republic of),538.3120672,2023
Mobility and autonomous vehicles,Mobility and autonomous vehicles,CHN,China (People's Republic of),4520.6404715,2023
Other,Other,CHN,China (People's Republic of),1461.5082674,2023
Robots, sensors and IT hardware,Robots, sensors and IT hardware,CHN,China (People's Republic of),3009.17106725,2023
Business processes and support services,Business processes and support services,CHN,China (People's Republic of),766.6111094080919,2024
Digital security,Digital security,CHN,China (People's Republic of),79.460102,2024
Financial and insurance services,Financial and insurance services,CHN,China (People's Republic of),273.28672447918746,2024
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,CHN,China (People's Republic of),1989.049508633333,2024
IT infrastructure and hosting,IT infrastructure and hosting,CHN,China (People's Republic of),2673.9063281190474,2024
Logistics, wholesale and retail,Logistics, wholesale and retail,CHN,China (People's Republic of),143.970172,2024
Media, social platforms and marketing,Media, social platforms and marketing,CHN,China (People's Republic of),836.9759437301586,2024
Mobility and autonomous vehicles,Mobility and autonomous vehicles,CHN,China (People's Republic of),4291.5938768333335,2024
Other,Other,CHN,China (People's Republic of),1247.7354181666667,2024
Robots, sensors and IT hardware,Robots, sensors and IT hardware,CHN,China (People's Republic of),3458.810729083333,2024
Business processes and support services,Business processes and support services,CHN,China (People's Republic of),644.2473516666668,2025
Digital security,Digital security,CHN,China (People's Republic of),45.1817151,2025
Financial and insurance services,Financial and insurance services,CHN,China (People's Republic of),15750.694468047619,2025
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,CHN,China (People's Republic of),1150.1337803333333,2025
IT infrastructure and hosting,IT infrastructure and hosting,CHN,China (People's Republic of),644.6459978860389,2025
Logistics, wholesale and retail,Logistics, wholesale and retail,CHN,China (People's Republic of),136.8141475,2025
Media, social platforms and marketing,Media, social platforms and marketing,CHN,China (People's Republic of),864.6094097619048,2025
Mobility and autonomous vehicles,Mobility and autonomous vehicles,CHN,China (People's Republic of),1632.7865225,2025
Other,Other,CHN,China (People's Republic of),750.4899665,2025
Robots, sensors and IT hardware,Robots, sensors and IT hardware,CHN,China (People's Republic of),2185.64725,2025
Business processes and support services,Business processes and support services,EU27,EU27,72.564246,2012
Digital security,Digital security,EU27,EU27,90.631461,2012
Financial and insurance services,Financial and insurance services,EU27,EU27,29.263016999999998,2012
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,EU27,EU27,166.342751,2012
IT infrastructure and hosting,IT infrastructure and hosting,EU27,EU27,98.858033,2012
Logistics, wholesale and retail,Logistics, wholesale and retail,EU27,EU27,3.33,2012
Media, social platforms and marketing,Media, social platforms and marketing,EU27,EU27,189.604804,2012
Mobility and autonomous vehicles,Mobility and autonomous vehicles,EU27,EU27,5.996613,2012
Other,Other,EU27,EU27,124.29337249999999,2012
Robots, sensors and IT hardware,Robots, sensors and IT hardware,EU27,EU27,147.463005,2012
Business processes and support services,Business processes and support services,EU27,EU27,110.12713199999999,2013
Digital security,Digital security,EU27,EU27,112.712854,2013
Financial and insurance services,Financial and insurance services,EU27,EU27,49.887534,2013
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,EU27,EU27,59.779532499999995,2013
IT infrastructure and hosting,IT infrastructure and hosting,EU27,EU27,156.18946,2013
Logistics, wholesale and retail,Logistics, wholesale and retail,EU27,EU27,0.8900000000000001,2013
Media, social platforms and marketing,Media, social platforms and marketing,EU27,EU27,186.3145125,2013
Mobility and autonomous vehicles,Mobility and autonomous vehicles,EU27,EU27,14.359803,2013
Other,Other,EU27,EU27,384.57388349999997,2013
Robots, sensors and IT hardware,Robots, sensors and IT hardware,EU27,EU27,49.579347,2013
Business processes and support services,Business processes and support services,EU27,EU27,239.5688285,2014
Digital security,Digital security,EU27,EU27,8.245683000000001,2014
Financial and insurance services,Financial and insurance services,EU27,EU27,203.45375166666665,2014
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,EU27,EU27,79.6535845,2014
IT infrastructure and hosting,IT infrastructure and hosting,EU27,EU27,477.2242985,2014
Logistics, wholesale and retail,Logistics, wholesale and retail,EU27,EU27,34.05,2014
Media, social platforms and marketing,Media, social platforms and marketing,EU27,EU27,647.5644715,2014
Mobility and autonomous vehicles,Mobility and autonomous vehicles,EU27,EU27,37.9811,2014
Other,Other,EU27,EU27,383.66445375,2014
Robots, sensors and IT hardware,Robots, sensors and IT hardware,EU27,EU27,42.949161,2014
Business processes and support services,Business processes and support services,EU27,EU27,406.02309249999996,2015
Digital security,Digital security,EU27,EU27,59.312017,2015
Financial and insurance services,Financial and insurance services,EU27,EU27,411.9090415,2015
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,EU27,EU27,258.37447499999996,2015
IT infrastructure and hosting,IT infrastructure and hosting,EU27,EU27,493.41210800000005,2015
Logistics, wholesale and retail,Logistics, wholesale and retail,EU27,EU27,27.488603,2015
Media, social platforms and marketing,Media, social platforms and marketing,EU27,EU27,658.73840575,2015
Mobility and autonomous vehicles,Mobility and autonomous vehicles,EU27,EU27,445.5926535,2015
Other,Other,EU27,EU27,800.7404475,2015
Robots, sensors and IT hardware,Robots, sensors and IT hardware,EU27,EU27,83.03627999999999,2015
Business processes and support services,Business processes and support services,EU27,EU27,334.1423155,2016
Digital security,Digital security,EU27,EU27,68.25486049999999,2016
Financial and insurance services,Financial and insurance services,EU27,EU27,308.568321,2016
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,EU27,EU27,328.544059,2016
IT infrastructure and hosting,IT infrastructure and hosting,EU27,EU27,499.58910999999995,2016
Logistics, wholesale and retail,Logistics, wholesale and retail,EU27,EU27,125.2647545,2016
Media, social platforms and marketing,Media, social platforms and marketing,EU27,EU27,692.1887168333333,2016
Mobility and autonomous vehicles,Mobility and autonomous vehicles,EU27,EU27,825.6561655,2016
Other,Other,EU27,EU27,1363.8107886,2016
Robots, sensors and IT hardware,Robots, sensors and IT hardware,EU27,EU27,96.00296900000001,2016
Business processes and support services,Business processes and support services,EU27,EU27,854.69153,2017
Digital security,Digital security,EU27,EU27,285.06993083333333,2017
Financial and insurance services,Financial and insurance services,EU27,EU27,843.4192991666666,2017
Healthcare, drugs and biotechnology,Healthcare, drugs and biotechnology,EU27,EU27,766.4897575,2017
IT infrastructure and hosting,IT infrastructure and hosting,EU27,EU27,389.284509,2017
Logistics, wholesale and retail,Logistics, wholesale and retail,EU27,EU27,223.297871,2017
Media, social platforms and marketing,Media, social platforms and marketing,EU27,EU27,1100.941671,2017
Mobility and autonomous vehicles,Mobility and autonomous vehicles,EU27,EU27,1749.8540995714286,2017
Other,Other,EU27,EU27,2006.45293625,2017
Robots, sensors and IT hardware,Robots, sensors and IT hardware,EU27,EU27,640.421694,2017
Other,Other,EU27,EU27,3401.2398107857143,2018
