contains_ai,Country/territory,Country/territory_label,impact_level,l0_concept,pub_type,publications,year
AI related,ALL,-- All countries --,All works,Physics,All publication types,528,2015
AI related,ALL,-- All countries --,All works,Physics,All publication types,542,2016
AI related,ALL,-- All countries --,All works,Physics,All publication types,578,2017
AI related,ALL,-- All countries --,All works,Physics,All publication types,689,2018
AI related,ALL,-- All countries --,All works,Physics,All publication types,876,2019
AI related,ALL,-- All countries --,All works,Physics,All publication types,967,2020
AI related,ALL,-- All countries --,All works,Physics,All publication types,1093,2021
AI related,ALL,-- All countries --,All works,Physics,All publication types,1094,2022
AI related,ALL,-- All countries --,All works,Physics,All publication types,1313,2023
AI related,ALL,-- All countries --,All works,Physics,All publication types,1484,2024
AI related,ALL,-- All countries --,All works,Physics,All publication types,763,2025
AI related,ALL,-- All countries --,All works,Medicine,All publication types,100,2000
AI related,ALL,-- All countries --,All works,Medicine,All publication types,99,2001
AI related,ALL,-- All countries --,All works,Medicine,All publication types,190,2002
AI related,ALL,-- All countries --,All works,Medicine,All publication types,162,2003
AI related,ALL,-- All countries --,All works,Medicine,All publication types,145,2004
AI related,ALL,-- All countries --,All works,Medicine,All publication types,226,2005
AI related,ALL,-- All countries --,All works,Medicine,All publication types,210,2006
AI related,ALL,-- All countries --,All works,Medicine,All publication types,226,2007
AI related,ALL,-- All countries --,All works,Medicine,All publication types,233,2008
AI related,ALL,-- All countries --,All works,Medicine,All publication types,237,2009
AI related,ALL,-- All countries --,All works,Medicine,All publication types,280,2010
AI related,ALL,-- All countries --,All works,Medicine,All publication types,333,2011
AI related,ALL,-- All countries --,All works,Medicine,All publication types,317,2012
AI related,ALL,-- All countries --,All works,Medicine,All publication types,331,2013
AI related,ALL,-- All countries --,All works,Medicine,All publication types,348,2014
AI related,ALL,-- All countries --,All works,Medicine,All publication types,407,2015
AI related,ALL,-- All countries --,All works,Medicine,All publication types,435,2016
AI related,ALL,-- All countries --,All works,Medicine,All publication types,547,2017
AI related,ALL,-- All countries --,All works,Medicine,All publication types,699,2018
AI related,ALL,-- All countries --,All works,Medicine,All publication types,916,2019
AI related,ALL,-- All countries --,All works,Medicine,All publication types,1252,2020
AI related,ALL,-- All countries --,All works,Medicine,All publication types,1586,2021
AI related,ALL,-- All countries --,All works,Medicine,All publication types,1675,2022
