Country,Country_label,INDUSTRY,STAGE,Sum_of_deals,Year
ALL,-- All countries --,Business processes and support services,VC,7825.776294,2020
ALL,-- All countries --,Business processes and support services,VC,22067.3285635,2021
ALL,-- All countries --,Business processes and support services,VC,14336.6663755,2022
ALL,-- All countries --,Business processes and support services,VC,7465.849055,2023
ALL,-- All countries --,Business processes and support services,VC,11904.6225315,2024
ALL,-- All countries --,Business processes and support services,VC,11336.593397,2025
ALL,-- All countries --,Robots, sensors and IT hardware,VC,275.459505,2012
ALL,-- All countries --,Robots, sensors and IT hardware,VC,146.294001,2013
ALL,-- All countries --,Robots, sensors and IT hardware,VC,631.49242,2014
ALL,-- All countries --,Robots, sensors and IT hardware,VC,1074.4482125,2015
ALL,-- All countries --,Robots, sensors and IT hardware,VC,2427.4752790000002,2016
ALL,-- All countries --,Robots, sensors and IT hardware,VC,3716.9501345,2017
ALL,-- All countries --,Robots, sensors and IT hardware,VC,6755.1912615,2018
ALL,-- All countries --,Robots, sensors and IT hardware,VC,4483.183195,2019
ALL,-- All countries --,Robots, sensors and IT hardware,VC,8143.628028,2020
ALL,-- All countries --,Robots, sensors and IT hardware,VC,13171.077215,2021
ALL,-- All countries --,Robots, sensors and IT hardware,VC,9431.805023,2022
ALL,-- All countries --,Robots, sensors and IT hardware,VC,7400.3101525,2023
ALL,-- All countries --,Robots, sensors and IT hardware,VC,10715.756099,2024
ALL,-- All countries --,Robots, sensors and IT hardware,VC,9380.344735,2025
ALL,-- All countries --,Digital security,VC,593.463678,2012
ALL,-- All countries --,Digital security,VC,465.1251765,2013
ALL,-- All countries --,Digital security,VC,1011.4003094999999,2014
ALL,-- All countries --,Digital security,VC,1880.9029425,2015
ALL,-- All countries --,Digital security,VC,1187.8756094999999,2016
ALL,-- All countries --,Digital security,VC,2001.389884,2017
ALL,-- All countries --,Digital security,VC,2607.169136,2018
ALL,-- All countries --,Digital security,VC,3868.3242665,2019
ALL,-- All countries --,Digital security,VC,4144.599114,2020
ALL,-- All countries --,Digital security,VC,9201.8733855,2021
ALL,-- All countries --,Digital security,VC,5822.0715095,2022
ALL,-- All countries --,Digital security,VC,4093.2738125,2023
ALL,-- All countries --,Digital security,VC,4786.9765815,2024
ALL,-- All countries --,Digital security,VC,4990.5350825,2025
ALL,-- All countries --,Logistics, wholesale and retail,VC,38.534083,2012
ALL,-- All countries --,Logistics, wholesale and retail,VC,61.0965615,2013
ALL,-- All countries --,Logistics, wholesale and retail,VC,777.309208,2014
ALL,-- All countries --,Logistics, wholesale and retail,VC,1064.585342,2015
ALL,-- All countries --,Logistics, wholesale and retail,VC,2949.1047645,2016
ALL,-- All countries --,Logistics, wholesale and retail,VC,2662.5551095,2017
ALL,-- All countries --,Logistics, wholesale and retail,VC,5519.9604895,2018
ALL,-- All countries --,Logistics, wholesale and retail,VC,6909.600677,2019
ALL,-- All countries --,Logistics, wholesale and retail,VC,3741.7497385,2020
ALL,-- All countries --,Logistics, wholesale and retail,VC,7452.805257,2021
ALL,-- All countries --,Logistics, wholesale and retail,VC,5641.6967025,2022
ALL,-- All countries --,Logistics, wholesale and retail,VC,3175.824299,2023
ALL,-- All countries --,Logistics, wholesale and retail,VC,1462.8407124999999,2024
ALL,-- All countries --,Logistics, wholesale and retail,VC,1585.5744845,2025
